001,INICIAR SESION,PERMITE AL ADMIN Y DIRECTOR INICIAR SESION
002,CERRAR SESION,PERMITE AL ADMIN Y DIRECTOR CERRAR SU SESION
003,CONTESTAR ENCUESTA,PERMITE AL ALUMNO CONTESTAR LA ENCUESTA ASIGNADA
004,REGISTRAR ALUMNO,PERMITE AL ADMIN REGISTRA UN SOLO ALUMNO
005,MODIFICAR INFO ALUMNO,PERMITE AL ADMIN MODIFICAR INFO DE UN ALUMNO
006,ELIMINAR ALUMNO,PERMITE AL ADMIN ELIMINAR UN ALUMNO DEL SISTEMA
007,PUBLICA ENCUESTA,PERMITE AL ADMIN PUBLICAR UNA ENCUESTA EN UN RANGO DE FECHAS
008,CERRAR ENCUESTA,PERMITE AL ADMIN CERRAR MANUALENTE UNA ENCUESTA ACTIVA
009,CONSULTAR ENCUESTA,PERMITE AL ADMIN Y DIRECTOR CONSULTAR LAS ENCUESTAS CONTESTADAS
010,MODIFICAR INFO CUENTA,PERMITE AL ADMIN Y DIRECTOR MODIFICAR INFO DE SU CUENTA
011,CAMBIAR CONTRASEÑA,PERMITE AL ADMIN Y DIRECTOR CAMBIAR SU CONTRASEÑA
012,CONSULTAR REPORTES,PERMITE AL ADMIN Y DIRECTOR CONSULTAR REPORTES HISTORICOS Y GUARDADOS 
013,REALIZAR CONSULTAS,PERMITE AL ADMIN Y DIRECTOR CONSULTAR POR FILTROS
014,ELIMINAR GRUPO,PERMITE AL ADMIN ELIMINAR UN GRUPO
015,REGISTAR GRUPO,PERMITE AL ADMIN REGISTAR UN GRUPO Y ALUMNOS
016,MODIFICAR GRUPO,PERMITE AL ADMIN ACTUALIZAR INFO DEL GRUPO O CAMBIAR UN GRUPO DE SEMESTRE
017,IMPRIMIR REPORTE,PERMITE AL ADMIN Y DIRECTOR IMPRIMIR UN REPORTE
018,CONTACTAR ALUMNOS DE CONSULTA,PERMITE AL ADMIN Y DIRECTOR CONTACTAR ALUMNOS DE UNA CONSULTA
019,REGISTAR ADMIN,PERMITE AL DIRECTOR REGISTRAR UN ADMIN
020,ELIMINAR ADMIN,PERMITE AL DIRECTOR ELIMINAR UN ADMIN
021,BUSCAR ALUMNOS,PERMITE AL ADMIN Y DIRECTOR BUSCAR UN ALUMNO POR NOMBRE O ID(NOCONTROL)
022,GUARDAR CONSULTA COMO REPORTE,PERMITE AL ADMIN Y DIRECTOR GUARDAR CONSULTAS COMO REPORTES
023,MODIFICAR REPORTE,PERMITE AL ADMIN Y DIRECTOR CAMBIAR EL REPORTE
024,ELIMINAR REPORTE,PERTENCE AL ADMIN Y DIRECTOR ELIMINAR EL REPORTE
025,MODIFICAR ENCUESTA,PERTENCE AL ADMIN MODIFICAR INFO DE ALGUNA ENCUESTA
