001,A,PROGRAMACION,M,1
002,B,PROGRAMACION,V,1
003,C,PROGRAMACION,M,3
004,D,PROGRAMACION,V,3
005,E,PROGRAMACION,M,5
006,F,PROGRAMACION,V,5
007,A,ELECTROMECANICA,M,1
008,B,ELECTROMECANICA,V,1
009,C,ELECTROMECANICA,M,3
010,D,ELECTROMECANICA,V,3
011,E,ELECTROMECANICA,M,5
012,F,ELECTROMECANICA,V,5
013,A,ARQUITECTURA,M,1
014,B,ARQUITECTURA,V,1
015,C,ARQUITECTURA,M,3
016,D,ARQUITECTURA,V,3
017,E,ARQUITECTURA,M,5
018,F,ARQUITECTURA,V,5
019,A,CONTABILIDAD,M,1
020,B,CONTABILIDAD,V,1
021,C,CONTABILIDAD,M,3
022,D,CONTABILIDAD,V,3
023,E,CONTABILIDAD,M,5
024,F,CONTABILIDAD,V,5
