001,01/08/2001,01/06/2004
002,01/08/2002,01/06/2005
003,01/08/2003,01/06/2006
004,01/08/2004,01/06/2007
005,01/08/2005,01/06/2008
006,01/08/2006,01/06/2009
007,01/08/2007,01/06/2010
008,01/08/2008,01/06/2011
009,01/08/2009,01/06/2012
010,01/08/2010,01/06/2013
011,01/08/2011,01/06/2014
012,01/08/2012,01/06/2015
013,01/08/2013,01/06/2016
014,01/08/2014,01/06/2017
015,01/08/2015,01/06/2018
016,01/08/2016,01/06/2019
017,01/08/2017,01/06/2020
018,01/08/2018,01/06/2021
019,01/08/2019,01/06/2022
020,01/08/2020,01/06/2023
